,,Gender,Gender,Gender,Gender,Gender
Plan School/College,Academic Plan,Female,Male,Unknown,Other,Grand Total
Grand Total,Total,"18,919","16,753",1,2,"35,675"
Agricultural and Life Sciences,Agricultural & Applied Economics BS,24,16,,,40
Agricultural and Life Sciences,Agricultural Business Management BS,24,26,,,50
Agricultural and Life Sciences,Agronomy BS,9,18,,,27
Agricultural and Life Sciences,Animal & Veterinary Biosciences BS,101,11,,,112
Agricultural and Life Sciences,Animal Sciences BS,74,12,,,86
Agricultural and Life Sciences,Biochemistry BS,178,135,,,313
Agricultural and Life Sciences,Biological Systems Engineering BS,26,35,,,61
Agricultural and Life Sciences,Biology BS,380,171,,,551
Agricultural and Life Sciences,Community & Environmental Sociology BS,33,10,,,43
Agricultural and Life Sciences,Dairy Science BS,28,9,,,37
Agricultural and Life Sciences,Entomology BS,14,7,,,21
Agricultural and Life Sciences,Environmental Sciences BS,88,50,,,138
Agricultural and Life Sciences,Food Science BS,34,32,,,66
Agricultural and Life Sciences,Forest Science BS,13,9,,,22
Agricultural and Life Sciences,Genetics & Genomics BS,285,80,,,365
Agricultural and Life Sciences,Global Health BS,303,47,,,350
Agricultural and Life Sciences,Horticulture BS,31,15,,,46
Agricultural and Life Sciences,Intended: Biological Systems Engineering,27,23,,,50
Agricultural and Life Sciences,Intended: Nutritional Sciences BSD,71,11,,,82
Agricultural and Life Sciences,Life Sciences Communication BS,110,38,,,148
Agricultural and Life Sciences,Microbiology BS,76,47,,,123
Agricultural and Life Sciences,No Major Code ALS,38,29,,,67
Agricultural and Life Sciences,Nutritional Sciences BS,62,17,,,79
Agricultural and Life Sciences,Nutritional Sciences BSDN,47,2,,,49
Agricultural and Life Sciences,Plant Pathology BS,11,1,,,12
Agricultural and Life Sciences,Soil Science BS,3,10,,,13
Agricultural and Life Sciences,Wildlife Ecology BS,66,44,,,110
Business,Bus: Accounting BBA,170,195,,,365
Business,Bus: Actuarial Science BBA,75,118,,,193
Business,"Bus: Finance, Investment & Banking BBA",408,"1,049",,,"1,457"
Business,Bus: Information Systems BBA,75,105,,,180
Business,Bus: International Business BBA,120,61,,,181
Business,Bus: Management & Human Resources BBA,196,144,,,340
Business,Bus: Marketing BBA,592,230,,,822
Business,Bus: Operations & Technology Management BBA,54,46,,,100
Business,Bus: Real Estate & Urban Land Economics BBA,209,465,,,674
Business,Bus: Risk Management & Insurance BBA,112,171,,,283
Business,Bus: Supply Chain Management BBA,123,90,,,213
Business,Business Administration-Human Resources BBA,11,2,,,13
Business,Business Administration-Management BBA,25,22,,,47
Business,Business Administration-Marketing BBA,15,6,,,21
Business,No Major Code BUS,177,223,,,400
Education,Art BFA,5,3,,,8
Education,Art BS,198,54,,,252
Education,Art Education BSE,21,3,,,24
Education,Communication Sciences & Disorders BSE,22,1,,,23
Education,Dance BFA,3,,,,3
Education,Dance BS,53,5,,,58
Education,Education Studies BS,70,23,,,93
Education,Elementary Education Special Education BSE,25,2,,,27
Education,Elementary Education BSE,201,30,,,231
Education,Health Promotion & Health Equity BS,194,37,,,231
Education,Intended: Art Education,22,1,,,23
Education,Intended: Elementary Education,170,17,,,187
Education,Intended: Kinesiology BS,221,124,,,345
Education,Intended: Physical Education BS,2,4,,,6
Education,Intended: Special EducationBSE,26,3,,,29
Education,Kinesiology BS,170,92,,,262
Education,No Major Code EDCS,7,,,,7
Education,No Major Code PRE,4,,,,4
Education,Physical Education BS,19,16,,,35
Education,Rehabilitation Psychology BS,105,7,,,112
Education,Special Education BSE,36,6,,,42
Education,Theatre & Drama BS,32,19,,,51
Engineering,Biomedical Engineering BS,353,317,1,,671
Engineering,Chemical Engineering BS,191,294,,,485
Engineering,Civil Engineering BS,116,232,,,348
Engineering,Computer Engineering BS,90,498,,,588
Engineering,Electrical Engineering BS,73,365,,,438
Engineering,Engineering Mechanics BS,35,175,,,210
Engineering,Engineering Physics BS,5,26,,,31
Engineering,Environmental Engineering BS,99,57,,,156
Engineering,Geological Engineering BS,16,11,,,27
Engineering,Industrial Engineering BS,113,199,,,312
Engineering,Materials Science and Engineering BS,29,69,,,98
Engineering,Mechanical Engineering BS,188,"1,073",,,"1,261"
Engineering,No Major Code ENG,15,37,,,52
Engineering,Nuclear Engineering BS,13,64,,,77
Human Ecology,Consumer Behavior & Marketplace Studies BS,712,225,,,937
Human Ecology,Community & Nonprofit Leadership BS,75,11,,,86
Human Ecology,Consumer Finance & Financial Planning BS,12,19,,,31
Human Ecology,Consumer Marketplace Studies BS,6,5,,,11
Human Ecology,Human Development & Family BS,307,22,,,329
Human Ecology,Intended: Interior Architecture BS,71,11,,,82
Human Ecology,Interior Architecture BS,79,3,,,82
Human Ecology,No Major Code HEC,1,,,,1
Human Ecology,Personal Finance BS,136,327,,,463
Human Ecology,Textiles and Fashion Design BS,100,13,,,113
Letters & Science,African American Studies BA,3,1,,,4
Letters & Science,African American Studies BS,1,2,,,3
Letters & Science,African Cultural Studies BA,4,1,,,5
Letters & Science,Anthropology BA,40,9,,,49
Letters & Science,Anthropology BS,9,4,,,13
Letters & Science,"Applied Math, Engineering & Physics BS",7,29,,,36
Letters & Science,Applied Social Science BLS,4,2,,,6
Letters & Science,Art History BA,26,4,,,30
Letters & Science,Art History BS,8,1,,,9
Letters & Science,Asian Languages & Cultures BA,21,9,,,30
Letters & Science,Asian Languages & Cultures BS,3,1,,,4
Letters & Science,Asian Studies BA,1,,,,1
Letters & Science,Astronomy - Physics BA,1,3,,,4
Letters & Science,Astronomy - Physics BS,30,42,,,72
Letters & Science,Atmospheric & Oceanic Sciences BA,,1,,,1
Letters & Science,Atmospheric & Oceanic Sciences BS,25,21,,,46
Letters & Science,Biochemistry BA,1,2,,,3
Letters & Science,Biochemistry BS,127,110,,,237
Letters & Science,Biology BA,11,16,,,27
Letters & Science,Biology BS,401,178,,,579
Letters & Science,Botany BA,5,2,,,7
Letters & Science,Botany BS,16,9,,,25
Letters & Science,Cartography & Geographic Information Systems BA,4,9,,,13
Letters & Science,Cartography & Geographic Information Systems BS,10,22,,,32
Letters & Science,Chemistry BA,4,5,,,9
Letters & Science,Chemistry BS,76,88,,,164
Letters & Science,Chicana/o Latina/o Studies BA,10,3,,,13
Letters & Science,Chicana/o Latina/o Studies BS,3,,,,3
Letters & Science,Chinese BA,19,7,,,26
Letters & Science,Chinese BS,4,4,,,8
Letters & Science,Classical Humanities BA,11,3,,,14
Letters & Science,Classical Humanities BS,,2,,,2
Letters & Science,Classics BA,2,2,,,4
Letters & Science,Classics BS,1,1,,,2
Letters & Science,Communication Sciences & Disorders BA,129,4,,,133
Letters & Science,Communication Sciences & Disorders BS,56,5,,,61
Letters & Science,Communication Arts BA,318,146,,,464
Letters & Science,Communication Arts BS,30,39,,,69
Letters & Science,Computer Sciences BA,35,99,,,134
Letters & Science,Computer Sciences BS,370,"1,729",,,"2,099"
Letters & Science,Conservation Biology BA,31,11,,,42
Letters & Science,Conservation Biology BS,83,25,,,108
Letters & Science,Data Science BA,55,82,,,137
Letters & Science,Data Science BS,274,708,,,982
Letters & Science,Economics BA,181,381,,,562
Letters & Science,Economics BS,172,399,,,571
Letters & Science,English BA,183,48,,,231
Letters & Science,English BS,24,11,,,35
Letters & Science,Environmental Sciences BA,11,2,,,13
Letters & Science,Environmental Sciences BS,51,20,,,71
Letters & Science,Environmental Studies BA,81,25,,,106
Letters & Science,Environmental Studies BS,47,16,,,63
Letters & Science,French BA,9,2,,,11
Letters & Science,French BS,7,3,,,10
Letters & Science,Gender & Women's Studies BA,44,2,,,46
Letters & Science,Gender & Women's Studies BS,16,1,,,17
Letters & Science,Geography BA,28,9,,,37
Letters & Science,Geography BS,9,14,,,23
Letters & Science,Geology & Geophysics BA,4,1,,,5
Letters & Science,Geology & Geophysics BS,15,15,,,30
Letters & Science,German BA,6,2,,,8
Letters & Science,German BS,3,5,,,8
Letters & Science,History BA,140,134,,,274
Letters & Science,History BS,14,33,,,47
Letters & Science,Information Science BA,31,20,,,51
Letters & Science,Information Science BS,37,53,,,90
Letters & Science,International Studies BA,151,45,,,196
Letters & Science,International Studies BS,16,6,,,22
Letters & Science,Italian BA,,2,,,2
Letters & Science,Italian BS,1,1,,,2
Letters & Science,Japanese BA,9,10,,,19
Letters & Science,Japanese BS,3,10,,,13
Letters & Science,Jewish Studies BA,3,1,,,4
Letters & Science,Journalism BA,370,86,,,456
Letters & Science,Journalism BS,23,12,,,35
Letters & Science,Landscape & Urban Studies BA,17,14,,,31
Letters & Science,Landscape & Urban Studies BS,10,9,,,19
Letters & Science,Landscape Architecture BLA,37,27,,,64
Letters & Science,"Latin American, Caribbean & Iberian Studies BA",7,1,,,8
Letters & Science,"Latin American, Caribbean & Iberian Studies BS",2,,,,2
Letters & Science,Latin BA,1,1,,,2
Letters & Science,Latin BS,3,1,,,4
Letters & Science,Legal Studies BA,213,51,,,264
Letters & Science,Legal Studies BS,49,12,,,61
Letters & Science,Linguistics BA,41,16,,,57
Letters & Science,Linguistics BS,10,3,,,13
Letters & Science,Mathematics BA,27,46,,,73
Letters & Science,Mathematics BS,102,291,,,393
Letters & Science,Microbiology BA,1,1,,,2
Letters & Science,Microbiology BS,41,27,,,68
Letters & Science,Molecular & Cell Biology BA,1,,,,1
Letters & Science,Molecular & Cell Biology BS,68,42,,,110
Letters & Science,Music BA,30,23,,,53
Letters & Science,Music BS,18,14,,,32
Letters & Science,Music: Education BM,20,13,,,33
Letters & Science,Music: Performance BM,15,18,,,33
Letters & Science,Neurobiology BA,15,12,,,27
Letters & Science,Neurobiology BS,457,184,,,641
Letters & Science,No Major Code BA,"2,133","1,530",,,"3,663"
Letters & Science,No Major Code BS,"2,114","2,505",,1,"4,620"
Letters & Science,Philosophy BA,32,48,,,80
Letters & Science,Philosophy BS,16,33,,,49
Letters & Science,Physics BA,1,6,,,7
Letters & Science,Physics BS,26,86,,,112
Letters & Science,Polish BA,1,,,,1
Letters & Science,Polish BS,4,1,,,5
Letters & Science,Political Science BA,417,273,,,690
Letters & Science,Political Science BS,67,67,,,134
Letters & Science,Portuguese BA,4,,,,4
Letters & Science,Portuguese BS,1,1,,,2
Letters & Science,Psychology BA,624,131,,,755
Letters & Science,Psychology BS,399,126,,,525
Letters & Science,Religious Studies BA,5,3,,,8
Letters & Science,Religious Studies BS,3,1,,,4
Letters & Science,Russian BA,12,5,,,17
Letters & Science,Russian BS,1,,,,1
Letters & Science,Scandinavian Studies BA,4,,,,4
Letters & Science,Scandinavian Studies BS,2,4,,,6
Letters & Science,Social Welfare BA,96,12,,1,109
Letters & Science,Social Welfare BS,12,5,,,17
Letters & Science,Social Work BSW,42,3,,,45
Letters & Science,Sociology BA,107,31,,,138
Letters & Science,Sociology BS,39,16,,,55
Letters & Science,Spanish BA,113,40,,,153
Letters & Science,Spanish BS,70,14,,,84
Letters & Science,Statistics BA,14,19,,,33
Letters & Science,Statistics BS,65,96,,,161
Letters & Science,Zoology BA,16,5,,,21
Letters & Science,Zoology BS,59,23,,,82
Nursing,Intended: Nursing BSN,433,69,,,502
Nursing,Nursing Accelerated BSN,34,9,,,43
Nursing,Nursing BSN,272,50,,,322
Nursing,Nursing Collaborative Program BSN,43,10,,,53
Pharmacy,Pharmacology & Toxicology BS,28,18,,,46